city,year,day_of_week,hour,distance_km,travel_time_minutes_10km,average_speed_kmph,data_source,spatial_scope,road_level
Hyderabad,2025,Monday,0,10,23,26.087,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Tuesday,0,10,23,26.087,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Wednesday,0,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Thursday,0,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Friday,0,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Saturday,0,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Sunday,0,10,25,24.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Monday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Tuesday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Wednesday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Thursday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Friday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Saturday,2,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Sunday,2,10,23,26.087,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Monday,4,10,21,28.571,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Tuesday,4,10,21,28.571,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Wednesday,4,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Thursday,4,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Friday,4,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Saturday,4,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Sunday,4,10,22,27.273,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Monday,6,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Tuesday,6,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Wednesday,6,10,25,24.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Thursday,6,10,25,24.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Friday,6,10,25,24.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Saturday,6,10,25,24.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Sunday,6,10,24,25.0,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Monday,8,10,29,20.69,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
Hyderabad,2025,Tuesday,8,10,29,20.69,TomTom Traffic Index - Hyderabad 2025,Hyderabad city/metro aggregate,citywide aggregate
