state,district,city_name,latitude,longitude,population,source
"Maharashtra","Mumbai","Mumbai","19.0759837","72.8776559","12461724","Vynex Indian Cities Geodata"
"Delhi","Delhi","Delhi","28.6139391","77.2090212","16314838","Vynex Indian Cities Geodata"
"Karnataka","Bengaluru Urban","Bengaluru","12.9715987","77.5945627","8728906","Vynex Indian Cities Geodata"
"Gujarat","Ahmedabad","Ahmedabad","23.022505","72.5713621","6577940","Vynex Indian Cities Geodata"
"Telangana","Hyderabad","Hyderabad","17.384934","78.486616","8746490","Vynex Indian Cities Geodata"
"Tamil Nadu","Chennai","Chennai","13.0826802","80.2707184","8696010","Vynex Indian Cities Geodata"
"West Bengal","Kolkata","Kolkata","22.572646","88.363895","14112536","Vynex Indian Cities Geodata"
"Maharashtra","Pune","Pune","18.5204303","73.8567437","3115431","Vynex Indian Cities Geodata"
"Rajasthan","Jaipur","Jaipur","26.9124336","75.7872709","3046163","Vynex Indian Cities Geodata"
"Gujarat","Surat","Surat","21.1702401","72.8310607","4462002","Vynex Indian Cities Geodata"
"Uttar Pradesh","Lucknow","Lucknow","26.8466937","80.946166","2901474","Vynex Indian Cities Geodata"
"Uttar Pradesh","Kanpur","Kanpur","26.447965","80.330572","2920067","Vynex Indian Cities Geodata"
"Maharashtra","Nagpur","Nagpur","21.1458004","79.0881546","2405421","Vynex Indian Cities Geodata"
"Bihar","Patna","Patna","25.5940947","85.1375645","2046652","Vynex Indian Cities Geodata"
"Madhya Pradesh","Indore","Indore","22.7195687","75.8577258","2167447","Vynex Indian Cities Geodata"
"Maharashtra","","Thane","","","","Existing IRTMS India city catalog"
"Madhya Pradesh","Bhopal","Bhopal","23.2599333","77.412615","1883381","Vynex Indian Cities Geodata"
"Andhra Pradesh","Visakhapatnam","Visakhapatnam","17.6868159","83.2184815","2035922","Vynex Indian Cities Geodata"
"Gujarat","Vadodara","Vadodara","22.3071588","73.1812187","1670806","Vynex Indian Cities Geodata"
"Uttar Pradesh","Firozabad","Firozabad","27.1591006","78.3957574","603797","Vynex Indian Cities Geodata"
"Punjab","Ludhiana","Ludhiana","30.900965","75.8572758","1618879","Vynex Indian Cities Geodata"
"Gujarat","Rajkot","Rajkot","22.3038945","70.8021599","1286678","Vynex Indian Cities Geodata"
"Uttar Pradesh","Agra","Agra","27.1766701","78.0080745","1746467","Vynex Indian Cities Geodata"
"West Bengal","Darjeeling; Jalpaiguri","Siliguri","26.7083818","88.4268741","701489","Vynex Indian Cities Geodata"
"Maharashtra","Nashik","Nashik","19.9974533","73.7898023","1817359","Vynex Indian Cities Geodata"
"Haryana","Faridabad","Faridabad","28.4089123","77.3177894","1404653","Vynex Indian Cities Geodata"
"Punjab","Patiala","Patiala","30.3397809","76.3868797","445196","Vynex Indian Cities Geodata"
"Uttar Pradesh","Meerut","Meerut","28.9844618","77.7064137","1424908","Vynex Indian Cities Geodata"
"Maharashtra","","Kalyan-Dombivali","","","","Existing IRTMS India city catalog"
"Maharashtra","","Vasai-Virar","","","","Existing IRTMS India city catalog"
"Uttar Pradesh","Varanasi","Varanasi","25.3176452","82.9739144","1435113","Vynex Indian Cities Geodata"
"Jammu and Kashmir","Srinagar","Srinagar","34.081413","74.807591","1192792","Vynex Indian Cities Geodata"
