state,district,city_or_town,latitude,longitude,population,source,location_type
"Andhra Pradesh","Kurnool","Adoni","15.6322227","77.2728368","166537","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Amalapuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Guntur","Amaravati","16.574517","80.359012","103000","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Anakapalle","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Anantapur","Anantapur","14.6818877","77.6005911","268503","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Bapatla","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Bheemunipatnam","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","West","Bhimavaram","16.544709","81.520593","142280","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Bobbili","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Guntur","Chilakaluripet","16.0924301","80.1623948","101398","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Chirala","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Chittoor","Chittoor","13.217176","79.1003289","153766","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Anantapur","Dharmavaram","14.422733","77.721472","121874","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","West","Eluru","16.7106604","81.0952431","217876","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Gooty","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Krishna","Gudivada","16.4410255","80.9926327","118167","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Gudur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Anantapur","Guntakal","15.1674091","77.3736238","126270","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Guntur","Guntur","16.3066525","80.4365402","743354","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Anantapur","Hindupur","13.829069","77.491835","151835","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Jaggaiahpet","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Jammalamadugu","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Kadapa","Kadapa","14.4673541","78.8241339","341823","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Kadiri","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","East","Kakinada","16.9890648","82.2474648","312255","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Kandukur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Kavali","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Kovvur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Kurnool","Kurnool","15.8281257","78.0372792","424920","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Macherla","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Krishna","Machilipatnam","16.1905457","81.1361543","169892","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","Chittoor","Madanapalle","13.5603491","78.5036065","135669","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Mandapeta","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Markapur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Nagari","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Naidupet","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Kurnool","Nandyal","15.4785694","78.4830934","200746","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Narasapuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Guntur","Narasaraopet","16.2353506","80.0479039","116250","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Narsipatnam","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Nellore","Nellore","14.4425987","79.986456","499575","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Nidadavole","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Nuzvid","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Prakasam","Ongole","15.5057232","80.049922","202826","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Palacole","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Palasa Kasibugga","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Parvathipuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Pedana","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Peddapuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Pithapuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Ponnur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","Kadapa","Proddatur","14.7491864","78.5531577","162816","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Punganur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Puttur","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Rajahmundry","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Rajam","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","East","Rajamahendravaram","17.0005383","81.8040345","419818","Vynex Indian Cities Geodata","City/Town"
"Andhra Pradesh","","Rajampet","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Ramachandrapuram","","","","Existing IRTMS India city catalog","City/Town"
"Andhra Pradesh","","Rayachoti","","","","Existing IRTMS India city catalog","City/Town"
