state,district,city_or_town,latitude,longitude,population,source,location_type
"Assam","","Barpeta","","","","Existing IRTMS India city catalog","City/Town"
"Assam","Bongaigaon","Bongaigaon","26.5009992","90.5352356","174973","Vynex Indian Cities Geodata","City/Town"
"Assam","","Bongaigaon City","","","","Existing IRTMS India city catalog","City/Town"
"Assam","Dhubri","Dhubri","26.0206982","89.9743463","109234","Vynex Indian Cities Geodata","City/Town"
"Assam","Dibrugarh","Dibrugarh","27.4728327","94.9119621","154019","Vynex Indian Cities Geodata","City/Town"
"Assam","","Diphu","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Dispur","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Goalpara","","","","Existing IRTMS India city catalog","City/Town"
"Assam","Kamrup","Guwahati","26.1445169","91.7362365","968549","Vynex Indian Cities Geodata","City/Town"
"Assam","Jorhat","Jorhat","26.7465203","94.2025859","153249","Vynex Indian Cities Geodata","City/Town"
"Assam","","Karimganj","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Lanka","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Lumding","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Mangaldoi","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Mankachar","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Margherita","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Mariani","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Marigaon","","","","Existing IRTMS India city catalog","City/Town"
"Assam","Nagaon","Nagaon","26.3463713","92.6840426","147137","Vynex Indian Cities Geodata","City/Town"
"Assam","","Nalbari","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","North Lakhimpur","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Rangia","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Sibsagar","","","","Existing IRTMS India city catalog","City/Town"
"Assam","","Silapathar","","","","Existing IRTMS India city catalog","City/Town"
"Assam","Cachar","Silchar","24.8332708","92.7789054","228985","Vynex Indian Cities Geodata","City/Town"
"Assam","Sonitpur","Tezpur","26.6528495","92.7925592","100477","Vynex Indian Cities Geodata","City/Town"
"Assam","Tinsukia","Tinsukia","27.4921909","95.346775","125637","Vynex Indian Cities Geodata","City/Town"
