state,district,city_or_town,latitude,longitude,population,source,location_type
"Bihar","","Araria","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Bhojpur","Arrah","25.5560443","84.6603307","261099","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Arwal","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Asarganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Aurangabad","Aurangabad","24.7457189","84.3804888","101520","Vynex Indian Cities Geodata","City/Town"
"Bihar","West Champaran","Bagaha","27.128635","84.062203","113012","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Barh","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Begusarai","Begusarai","25.416675","86.1293792","251136","Vynex Indian Cities Geodata","City/Town"
"Bihar","West Champaran","Bettiah","26.8028048","84.5169757","156200","Vynex Indian Cities Geodata","City/Town"
"Bihar","","BhabUrban Agglomeration","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Bhagalpur","Bhagalpur","25.2414303","86.9924358","410210","Vynex Indian Cities Geodata","City/Town"
"Bihar","Nalanda","Bihar Sharif","25.1982147","85.5148735","296889","Vynex Indian Cities Geodata","City/Town"
"Bihar","Buxar","Buxar","25.5647103","83.9777482","110608","Vynex Indian Cities Geodata","City/Town"
"Bihar","Saran","Chhapra","25.7795649","84.7498886","212955","Vynex Indian Cities Geodata","City/Town"
"Bihar","Darbhanga","Darbhanga","26.111868","85.896004","306089","Vynex Indian Cities Geodata","City/Town"
"Bihar","Rohtas","Dehri","24.9277351","84.1909841","137068","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Dehri-on-Sone","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Dumraon","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Forbesganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Gaya","Gaya","24.7954523","84.999431","470839","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Gopalganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Vaishali","Hajipur","25.692562","85.208369","147688","Vynex Indian Cities Geodata","City/Town"
"Bihar","Munger","Jamalpur","25.312717","86.4906091","105221","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Jamui","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Jehanabad","Jehanabad","25.2139287","84.9895549","102456","Vynex Indian Cities Geodata","City/Town"
"Bihar","Katihar","Katihar","25.542424","87.567953","240565","Vynex Indian Cities Geodata","City/Town"
"Bihar","Kishanganj","Kishanganj","26.0917422","87.9383822","107076","Vynex Indian Cities Geodata","City/Town"
"Bihar","Lakhisarai","Lakhisarai","25.1673614","86.0988253","99931","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Lalganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Madhepura","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Madhubani","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Maharajganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Mahnar Bazar","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Makhdumpur","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Maner","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Manihari","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Marhaura","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Masaurhi","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Mirganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Mokameh","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","East Champaran","Motihari","26.6469624","84.9088938","125183","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Motipur","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Munger","Munger","25.376505","86.476588","213101","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Murliganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Muzaffarpur","Muzaffarpur","26.1208876","85.3647201","393724","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Narkatiaganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Naugachhia","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Nawada","Nawada","24.877299","85.538434","118820","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Nokha","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Patna","Patna","25.5940947","85.1375645","2046652","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Piro","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Purnia","Purnia","25.7771391","87.4752551","310817","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Rafiganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Rajgir","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Ramnagar","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Raxaul Bazar","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Revelganj","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Rosera","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Saharsa","Saharsa","25.8834961","86.6006249","155175","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Samastipur","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Rohtas","Sasaram","24.949036","84.0314295","147396","Vynex Indian Cities Geodata","City/Town"
"Bihar","","Sheikhpura","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Sheohar","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Sherghati","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","","Silao","","","","Existing IRTMS India city catalog","City/Town"
"Bihar","Sitamarhi","Sitamarhi","26.5952476","85.4808393","105924","Vynex Indian Cities Geodata","City/Town"
