state,district,city_or_town,latitude,longitude,population,source,location_type
"Chhattisgarh","Surguja","Ambikapur","23.1354921","83.1817856","114575","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","","Bhatapara","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","","Bhilai Nagar","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","Bilaspur","Bilaspur","22.0796251","82.1391412","330106","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Koriya","Chirmiri","23.1879502","82.354162","103575","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","","Dalli-Rajhara","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","Dhamtari","Dhamtari","20.7014999","81.5541579","101677","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Durg","Durg","21.1904494","81.2849169","894376","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Bastar","Jagdalpur","19.0740973","82.008014","125345","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Korba","Korba","22.3594501","82.7500595","363210","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Mahasamund","Mahasamund","21.1091317","82.0979023","96850","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","","Manendragarh","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","","Mungeli","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","","Naila Janjgir","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","Raipur","Naya Raipur","21.1649932","81.7753055","560000","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","kanker","Pakhanjore","20.0399913","80.6271415","142240","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Raigarh","Raigarh","21.8974003","83.3949632","100097","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Raipur","Raipur","21.2513844","81.6296413","1010087","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","Rajnandgaon","Rajnandgaon","21.0971034","81.0302222","263122","Vynex Indian Cities Geodata","City/Town"
"Chhattisgarh","","Sakti","","","","Existing IRTMS India city catalog","City/Town"
"Chhattisgarh","","Tilda Newra","","","","Existing IRTMS India city catalog","City/Town"
