state,district,city_or_town,latitude,longitude,population,source,location_type
"Gujarat","","Adalaj","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Ahmedabad","Ahmedabad","23.022505","72.5713621","6577940","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Amreli","Amreli","21.6031774","71.2220832","105573","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Anand","Anand","22.5645175","72.928871","198282","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Anjar","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Bharuch","Ankleshwar","21.6264236","73.0151984","140839","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Bharuch","Bharuch","21.701963","72.99996","169007","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Bhavnagar","Bhavnagar","21.768064","72.147388","593368","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Kutch","Bhuj","23.2419997","69.6669324","143286","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Botad","Botad","22.1704232","71.6684269","130327","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Chhapra","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Dahod","Dahod","22.8379314","74.2531465","118846","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Banaskantha","Deesa","24.2585031","72.1906721","111149","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Dhoraji","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Kutch","Gandhidham","23.075297","70.133673","247992","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Gandhinagar","Gandhinagar","23.2156354","72.6369415","206167","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Panchmahal","Godhra","22.7788044","73.6142795","143644","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Rajkot","Gondal","21.9619463","70.792297","112197","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Jamnagar","Jamnagar","22.4707019","70.05773","479920","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Rajkot","Jetpur","21.761778","70.621101","118302","Vynex Indian Cities Geodata","City/Town"
"Gujarat","Junagadh","Junagadh","21.522184","70.4578768","319462","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Kadi","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Gandhinagar","Kalol","23.2463895","72.5086513","113153","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Kapadvanj","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Keshod","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Anand","Khambhat","22.316748","72.624144","183830","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Lathi","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Limbdi","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Lunawada","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Mahemdabad","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Mahesana","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Bhavnagar","Mahuva","21.0902193","71.7563169","98519","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Manavadar","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Mandvi","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Mangrol","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","","Mansa","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Mehsana","Mehsana","23.5879607","72.3693252","84133","Vynex Indian Cities Geodata","City/Town"
"Gujarat","","Modasa","","","","Existing IRTMS India city catalog","City/Town"
"Gujarat","Morbi","Morbi","22.8119895","70.8236195","194947","Vynex Indian Cities Geodata","City/Town"
