state,district,city_or_town,latitude,longitude,population,source,location_type
"Haryana","Ambala","Ambala","30.3781788","76.7766974","407934","Vynex Indian Cities Geodata","City/Town"
"Haryana","Jhajjar","Bahadurgarh","28.6924464","76.9239727","170426","Vynex Indian Cities Geodata","City/Town"
"Haryana","Bhiwani","Bhiwani","28.7990445","76.1335112","197662","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Chandigarh","30.7333","76.7794","","IRTMS state capital catalog","Capital"
"Haryana","","Charkhi Dadri","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Faridabad","Faridabad","28.4089123","77.3177894","1404653","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Fatehabad","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Gohana","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Gurgaon","Gurgaon","28.4594965","77.0266383","901968","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Hansi","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Hisar","Hisar","29.1491875","75.7216527","306893","Vynex Indian Cities Geodata","City/Town"
"Haryana","Jind","Jind","29.3211153","76.3058328","166225","Vynex Indian Cities Geodata","City/Town"
"Haryana","Kaithal","Kaithal","29.7856734","76.3984537","144633","Vynex Indian Cities Geodata","City/Town"
"Haryana","Karnal","Karnal","29.6856929","76.9904825","303425","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Ladwa","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Mahendragarh","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Mandi Dabwali","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Narnaul","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Narwana","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Palwal","Palwal","28.1487362","77.3320262","131121","Vynex Indian Cities Geodata","City/Town"
"Haryana","Panchkula","Panchkula","30.6942091","76.860565","210175","Vynex Indian Cities Geodata","City/Town"
"Haryana","Panipat","Panipat","29.3909464","76.9635023","442277","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Pehowa","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Pinjore","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Rania","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Ratia","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Rewari","Rewari","28.1927631","76.6239423","140864","Vynex Indian Cities Geodata","City/Town"
"Haryana","Rohtak","Rohtak","28.8955152","76.606611","373133","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Safidon","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Samalkha","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Sarsod","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","","Shahbad","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Sirsa","Sirsa","29.5335931","75.0177029","183282","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Sohna","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Sonipat","Sonipat","28.9287735","77.091281","292339","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Taraori","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Kurukshetra","Thanesar","29.9696148","76.8197522","154962","Vynex Indian Cities Geodata","City/Town"
"Haryana","","Tohana","","","","Existing IRTMS India city catalog","City/Town"
"Haryana","Yamunanagar","Yamunanagar","30.1290485","77.2673901","383318","Vynex Indian Cities Geodata","City/Town"
