state,capital,latitude,longitude,city_town_count,csv_file
"Andhra Pradesh","Amaravati","16.5745","80.3575","86","frontend/src/data/state-city-town/andhra-pradesh.csv"
"Arunachal Pradesh","Itanagar","27.0844","93.6053","3","frontend/src/data/state-city-town/arunachal-pradesh.csv"
"Assam","Dispur","26.1433","91.7898","27","frontend/src/data/state-city-town/assam.csv"
"Bihar","Patna","25.5941","85.1376","72","frontend/src/data/state-city-town/bihar.csv"
"Chhattisgarh","Raipur","21.2514","81.6296","21","frontend/src/data/state-city-town/chhattisgarh.csv"
"Goa","Panaji","15.4909","73.8278","6","frontend/src/data/state-city-town/goa.csv"
"Gujarat","Gandhinagar","23.2156","72.6369","82","frontend/src/data/state-city-town/gujarat.csv"
"Haryana","Chandigarh","30.7333","76.7794","39","frontend/src/data/state-city-town/haryana.csv"
"Himachal Pradesh","Shimla","31.1048","77.1734","8","frontend/src/data/state-city-town/himachal-pradesh.csv"
"Jharkhand","Ranchi","23.3441","85.3096","30","frontend/src/data/state-city-town/jharkhand.csv"
"Karnataka","Bengaluru","12.9716","77.5946","101","frontend/src/data/state-city-town/karnataka.csv"
"Kerala","Thiruvananthapuram","8.5241","76.9366","55","frontend/src/data/state-city-town/kerala.csv"
"Madhya Pradesh","Bhopal","23.2599","77.4126","96","frontend/src/data/state-city-town/madhya-pradesh.csv"
"Maharashtra","Mumbai","19.076","72.8777","136","frontend/src/data/state-city-town/maharashtra.csv"
"Manipur","Imphal","24.817","93.9368","4","frontend/src/data/state-city-town/manipur.csv"
"Meghalaya","Shillong","25.5788","91.8933","3","frontend/src/data/state-city-town/meghalaya.csv"
"Mizoram","Aizawl","23.7271","92.7176","3","frontend/src/data/state-city-town/mizoram.csv"
"Nagaland","Kohima","25.6751","94.1086","6","frontend/src/data/state-city-town/nagaland.csv"
"Odisha","Bhubaneswar","20.2961","85.8245","39","frontend/src/data/state-city-town/odisha.csv"
"Punjab","Chandigarh","30.7333","76.7794","57","frontend/src/data/state-city-town/punjab.csv"
"Rajasthan","Jaipur","26.9124","75.7873","94","frontend/src/data/state-city-town/rajasthan.csv"
"Sikkim","Gangtok","27.3389","88.6065","1","frontend/src/data/state-city-town/sikkim.csv"
"Tamil Nadu","Chennai","13.0827","80.2707","126","frontend/src/data/state-city-town/tamil-nadu.csv"
"Telangana","Hyderabad","17.385","78.4867","41","frontend/src/data/state-city-town/telangana.csv"
"Tripura","Agartala","23.8315","91.2868","7","frontend/src/data/state-city-town/tripura.csv"
"Uttar Pradesh","Lucknow","26.8467","80.9462","155","frontend/src/data/state-city-town/uttar-pradesh.csv"
"Uttarakhand","Dehradun","30.3165","78.0322","20","frontend/src/data/state-city-town/uttarakhand.csv"
"West Bengal","Kolkata","22.5726","88.3639","61","frontend/src/data/state-city-town/west-bengal.csv"
"Andaman and Nicobar Islands","Port Blair","11.6234","92.7265","1","frontend/src/data/state-city-town/andaman-and-nicobar-islands.csv"
"Chandigarh","Chandigarh","30.7333","76.7794","1","frontend/src/data/state-city-town/chandigarh.csv"
"Dadra and Nagar Haveli and Daman and Diu","Daman","20.3974","72.8328","2","frontend/src/data/state-city-town/dadra-and-nagar-haveli-and-daman-and-diu.csv"
"Delhi","New Delhi","28.6139","77.209","2","frontend/src/data/state-city-town/delhi.csv"
"Jammu and Kashmir","Srinagar","34.0837","74.7973","9","frontend/src/data/state-city-town/jammu-and-kashmir.csv"
"Ladakh","Leh","34.1526","77.5771","1","frontend/src/data/state-city-town/ladakh.csv"
"Lakshadweep","Kavaratti","10.5669","72.642","1","frontend/src/data/state-city-town/lakshadweep.csv"
"Puducherry","Puducherry","11.9416","79.8083","6","frontend/src/data/state-city-town/puducherry.csv"
