state,district,city_or_town,latitude,longitude,population,source,location_type
"Jharkhand","","Adityapur","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Bokaro","Bokaro Steel City","23.6692956","86.151112","563417","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Chaibasa","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Chatra","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Dhanbad","Chirkunda","23.747887","86.7868768","118822","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Deoghar","Deoghar","24.4763201","86.6913222","203116","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Dhanbad","Dhanbad","23.7956531","86.4303859","1195298","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Dumka","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Giridih","Giridih","24.1821391","86.2869507","143529","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Gumia","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Hazaribag","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Hazaribag","Hazaribagh","23.9966213","85.3691068","153599","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","East Singhbhum","Jamshedpur","22.8045665","86.2028754","1337131","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Koderma","Jhumri Telaiya","24.4289365","85.5354724","87867","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Jhumri Tilaiya","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Lohardaga","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Madhupur","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Palamu","Medininagar","24.0420432","84.0907246","119972","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Medininagar (Daltonganj)","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Mihijam","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Musabani","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Pakaur","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Patratu","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","Bokaro","Phusro","23.7622641","86.0020693","186139","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Ramgarh","Ramgarh","23.6332243","85.5148735","132441","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Ranchi","Ranchi","23.349649","85.334521","1126741","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","Sahibganj","Sahibganj","25.2381216","87.6453592","80154","Vynex Indian Cities Geodata","City/Town"
"Jharkhand","","Saunda","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Simdega","","","","Existing IRTMS India city catalog","City/Town"
"Jharkhand","","Tenu dam-cum-Kathhara","","","","Existing IRTMS India city catalog","City/Town"
