state,district,city_or_town,latitude,longitude,population,source,location_type
"Karnataka","","Adyar","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Afzalpur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Arsikere","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Athni","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Bagalkot","Bagalkot","16.1725355","75.6557206","12068","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Ballari","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Belagavi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Belagavi","Belgaum","15.8496953","74.4976741","490045","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Ballari","Bellary","15.1393932","76.9214428","409444","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Bengaluru Urban","Bengaluru","12.9715987","77.5945627","8728906","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Shimoga","Bhadravati","13.8329901","75.7080727","151102","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Bidar","Bidar","17.9148799","77.5046101","216020","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Vijayapur","Bijapur","16.8301708","75.710031","327427","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Chikkamagallooru","Chikkamagallooru","13.315258","75.7754018","118496","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Chikkamagaluru","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Chikkamagaluru","Chikmagalur","13.315258","75.7754018","118496","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Chitradurga","Chitradurga","14.2305594","76.3984537","145853","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Davanagere","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Davangere","Davangere","14.4663438","75.9238397","435128","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Gadag","Gadag","15.4324651","75.6380337","172612","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Koppal","Gangawati","15.431874","76.5314817","114642","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Gokak","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Kalburgi","Gulbarga","17.329731","76.8342957","532031","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Davanagere","Harihar","14.5304566","75.8010962","145000","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Hassan","Hassan","13.0068142","76.0995519","173008","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Bellary","Hospet","15.2688542","76.3909241","206159","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Dharwad","Hubli","15.3647083","75.1239547","943857","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Hubli-Dharwad","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Karwar","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Kolar","Kolar","13.1357446","78.1325611","138462","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Lakshmeshwar","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Lingsugur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Maddur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Madhugiri","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Madikeri","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Magadi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mahalingapura","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Malavalli","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Malur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Mandya","Mandya","12.5221567","76.9009191","137358","Vynex Indian Cities Geodata","City/Town"
"Karnataka","South Canara","Mangalore","12.9141417","74.8559568","499487","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Mangaluru","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Manvi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mudabidri","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mudalagi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Muddebihal","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mudhol","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mulbagal","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Mundargi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Mysuru","Mysore","12.2958104","76.6393805","887446","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Nanjangud","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Nargund","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Navalgund","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Nelamangala","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Pavagada","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Piriyapatna","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Puttur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Raayachuru","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Rabkavi Banhatti","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Raichur","Raichur","16.2120031","77.3439283","232456","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Ramnagar","Ramanagara","12.7094487","77.2807423","95167","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Ramanagaram","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Ramdurg","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Haveri","Ranebennuru","14.6113428","75.6382657","106365","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Ranibennur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Kolar","Robertson Pet","12.9551189","78.2698622","162230","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Ron","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sadalagi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sagara","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sakaleshapura","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sanduru","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sankeshwara","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Saundatti-Yellamma","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Savanur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sedam","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Shahabad","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Shahpur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Shiggaon","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Shikaripur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Shivamogga","Shimoga","13.9299299","75.568101","322428","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Shivamogga","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Shrirangapattana","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sidlaghatta","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sindagi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sindhagi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sindhnur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sira","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Sirsi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Siruguppa","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Srinivaspur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Surapura","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Talikota","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Tarikere","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Tekkalakote","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Terdal","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Tiptur","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","Tumakuru","Tumkur","13.345018","77.101945","305821","Vynex Indian Cities Geodata","City/Town"
"Karnataka","Udupi","Udupi","13.3371151","74.746596","165401","Vynex Indian Cities Geodata","City/Town"
"Karnataka","","Vijayapura","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Wadi","","","","Existing IRTMS India city catalog","City/Town"
"Karnataka","","Yadgir","","","","Existing IRTMS India city catalog","City/Town"
