state,district,city_or_town,latitude,longitude,population,source,location_type
"Kerala","","Adoor","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Alappuzha","Alappuzha","9.4980667","76.3388484","174164","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Attingal","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Kozhikode","Calicut","11.2587531","75.78041","432097","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Chalakudy","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Changanassery","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Cherthala","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Chittur-Thathamangalam","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Guruvayoor","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Kanhangad","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Kannur","Kannur","11.8744775","75.3703662","232634","Vynex Indian Cities Geodata","City/Town"
"Kerala","Kasaragod","Kasaragod","12.5102239","74.9851678","192856","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Kayamkulam","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Ernakulam","Kochi","9.9312328","76.2673041","612343","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Kodungallur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Kollam","Kollam","8.8932118","76.6141396","349033","Vynex Indian Cities Geodata","City/Town"
"Kerala","Ernakulam","Kothamangalam","10.0601903","76.6350827","114639","Vynex Indian Cities Geodata","City/Town"
"Kerala","Kottayam","Kottayam","9.5915668","76.5221531","129894","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Koyilandy","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Kozhikode","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Kunnamkulam","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Malappuram","Malappuram","11.0731819","76.0739999","101386","Vynex Indian Cities Geodata","City/Town"
"Kerala","Malappuram","Manjeri","11.1202984","76.1199677","97102","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Mattannur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Mavelikkara","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Mavoor","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Muvattupuzha","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Nedumangad","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Neyyattinkara","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Nilambur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Ottappalam","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Palai","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Palakkad","Palakkad","10.7867303","76.6547932","131019","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Panamattom","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Panniyannur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Pappinisseri","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Paravoor","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Pathanamthitta","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Peringathur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Perinthalmanna","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Perumbavoor","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Malappuram","Ponnani","10.7677201","75.9259013","90374","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Punalur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Puthuppally","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Shoranur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Taliparamba","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Kannur","Thalassery","11.7532878","75.4928777","92558","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Thiruvalla","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Thiruvananthapuram","Thiruvananthapuram","8.5241391","76.9366376","957730","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Thodupuzha","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","Thrissur","Thrissur","10.5276416","76.2144349","325474","Vynex Indian Cities Geodata","City/Town"
"Kerala","","Tirur","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Vaikom","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Varkala","","","","Existing IRTMS India city catalog","City/Town"
"Kerala","","Vatakara","","","","Existing IRTMS India city catalog","City/Town"
