state,district,city_or_town,latitude,longitude,population,source,location_type
"Madhya Pradesh","","Alirajpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Ashok Nagar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Balaghat","Balaghat","21.812876","80.1838293","93231","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Betul","Betul","21.9108031","77.9011842","103341","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Bhind","Bhind","26.5587354","78.7872876","197332","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Bhopal","Bhopal","23.2599333","77.412615","1883381","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Burhanpur","Burhanpur","21.3193875","76.2224273","210891","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Chhatarpur","Chhatarpur","24.9163562","79.5811827","147688","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Chhindwara","Chhindwara","22.057437","78.9381729","190008","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Damoh","Damoh","23.8380986","79.4421731","147515","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Datia","Datia","25.6653262","78.4609393","100466","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Dewas","Dewas","22.9622672","76.0507949","289438","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Shahdol","Dhanpuri","23.2307927","81.4690932","94799","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Dhar","Dhar","22.6012922","75.3024655","93917","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Ganjbasoda","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Guna","Guna","24.6348197","77.2979782","180978","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Gwalior","Gwalior","26.2182871","78.1828308","1101981","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Hoshangabad","Hoshangabad","22.744108","77.736967","117956","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Indore","Indore","22.7195687","75.8577258","2167447","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Hoshangabad","Itarsi","22.6054858","77.753544","114430","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Jabalpur","Jabalpur","23.181467","79.9864071","1267564","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Katni","Katni","23.8308453","80.4072255","221875","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Khandwa","Khandwa","21.8257334","76.352571","200681","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","Khargone","Khargone","21.8335244","75.6149893","133361","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Lahar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Maharajpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mahidpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Maihar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Malaj Khand","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Manasa","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Manawar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mandideep","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mandla","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Mandsaur","Mandsaur","24.076836","75.0692952","141468","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Mauganj","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mhow Cantonment","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mhowgaon","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Morena","Morena","26.4933562","77.9909949","200506","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Multai","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Mundi","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Murwara (Katni)","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Ujjain","Nagda","23.4454599","75.4169918","100036","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Nainpur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Narsinghgarh","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Neemuch","Neemuch","24.4763852","74.8624092","128575","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Nepanagar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Niwari","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Nowgong","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Nowrozabad (Khodargama)","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Pachore","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Pali","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Panagar","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Pandhurna","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Panna","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Pasan","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Pipariya","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","Dhar","Pithampur","22.613252","75.6822899","126099","Vynex Indian Cities Geodata","City/Town"
"Madhya Pradesh","","Porsa","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Prithvipur","","","","Existing IRTMS India city catalog","City/Town"
"Madhya Pradesh","","Raghogarh-Vijaypur","","","","Existing IRTMS India city catalog","City/Town"
