state,district,city_or_town,latitude,longitude,population,source,location_type
"Maharashtra","Amravati","Achalpur","21.257584","77.5086754","112293","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Ahmednagar","Ahmednagar","19.0952075","74.7495916","350000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Akola","Akola","20.7059345","77.0219019","427618","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Akola","Akot","21.0973361","77.053568","92637","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Jalgaon","Amalner","21.0419208","75.0581943","96000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Ambejogai","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Amravati","Amravati","20.9374238","77.7795513","646801","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Anjangaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Arvi","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Aurangabad","Aurangabad","19.8761653","75.3433139","1171330","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Solapur","Barshi","18.2333856","75.6941478","104786","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Beed","Beed","18.9890893","75.7600785","146709","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Bhandara","Bhandara","21.1750113","79.6558242","91845","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Thane","Bhiwandi","19.2812547","73.0482912","711329","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Jalgaon","Bhusawal","21.0455204","75.8010962","204016","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Jalgaon","Chalisgaon","20.4640778","74.9968543","97551","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Chandrapur","Chandrapur","19.9704597","79.3014845","325000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Dhule","Dhule","20.9042201","74.7748979","380000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Gondia","Gondia","21.4624491","80.2209773","132821","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Wardha","Hinganghat","20.5505728","78.8411405","106984","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Kolhapur","Ichalkaranji","16.7090008","74.4560807","325499","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Jalgaon","Jalgaon","21.0076578","75.5626039","460000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Jalna","Jalna","19.842614","75.894805","285577","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Kalyan-Dombivali","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Nagpur","Kamptee","21.2275312","79.1900834","136124","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Karjat","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Buldhana","Khamgaon","20.707117","76.571995","94191","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Kolhapur","Kolhapur","16.7049873","74.2432527","549618","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Latur","Latur","18.4087934","76.5603828","410873","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Loha","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Lonar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Lonavla","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mahad","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Malegaon","Malegaon","20.554554","74.525989","409618","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Malkapur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mangalvedhe","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mangrulpir","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Manjlegaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Manmad","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Manwath","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mehkar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mhaswad","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mira-Bhayandar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Morshi","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mukhed","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Mul","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Mumbai","Mumbai","19.0759837","72.8776559","12461724","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Murtijapur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Nagpur","Nagpur","21.1458004","79.0881546","2405421","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Nanded","Nanded","19.1382514","77.3209555","550564","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Nanded-Waghala","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Nandgaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Nandura","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Nandurbar","Nandurbar","21.3755507","74.2427644","329786","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Narkhed","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Nashik","Nashik","19.9974533","73.7898023","1817359","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Nawapur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Nilanga","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Osmanabad","Osmanabad","18.1860659","76.0419409","112085","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Ozar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pachora","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Paithan","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Palghar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pandharkaoda","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Solapur","Pandharpur","17.6745535","75.3237262","140000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Panvel","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Parbhani","Parbhani","19.2609958","76.776665","270000","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","Beed","Parli","18.8453169","76.5198462","88510","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Partur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pathardi","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pathri","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Patur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pauni","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pen","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Phaltan","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Pune","Pimpri-Chinchwad","18.62354","73.807873","1772891","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Pulgaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Pune","Pune","18.5204303","73.8567437","3115431","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Purna","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Pusad","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Rahuri","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Rajura","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Ramtek","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Ratnagiri","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Raver","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Risod","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sailu","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sangamner","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sangli","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Sangli","Sangli-Miraj-Kupwad","16.8541887","74.6049061","513862","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Sangole","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sasvad","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Satana","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Satara","Satara","17.6804639","74.018261","149335","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Savner","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sawantwadi","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shahade","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shegaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shendurjana","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shirdi","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shirpur-Warwade","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shirur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shrigonda","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Shrirampur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sillod","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Sinnar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Solapur","Solapur","17.6599188","75.9063906","951118","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Soyagaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Talegaon Dabhade","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Talode","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Tasgaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Thane","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Tirora","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Tuljapur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Tumsar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Uchgaon","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Latur","Udgir","18.3942882","77.1126009","91933","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Umarga","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Umarkhed","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Umred","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Uran","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Uran Islampur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Vadgaon Kasba","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Vaijapur","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Vasai-Virar","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Vita","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Wadgaon Road","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Wai","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Wani","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Wardha","Wardha","20.745319","78.6021946","106444","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Warora","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Warud","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Washim","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","Yavatmal","Yavatmal","20.3887937","78.1204073","138303","Vynex Indian Cities Geodata","City/Town"
"Maharashtra","","Yawal","","","","Existing IRTMS India city catalog","City/Town"
"Maharashtra","","Yevla","","","","Existing IRTMS India city catalog","City/Town"
