state,district,city_or_town,latitude,longitude,population,source,location_type
"Odisha","Balangir","Balangir","20.7074234","83.4842725","98238","Vynex Indian Cities Geodata","City/Town"
"Odisha","Balasore","Balasore","21.504467","86.922227","177557","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Baleshwar Town","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Barbil","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Bargarh","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Mayurbhanj","Baripada","21.9322338","86.7516942","116874","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Baripada Town","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Ganjam","Berhampur","19.314914","84.794244","355823","Vynex Indian Cities Geodata","City/Town"
"Odisha","Bhadrak","Bhadrak","21.0582737","86.4958396","129152","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Bhawanipatna","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Khurda","Bhubaneswar","20.295515","85.824797","881988","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Brahmapur","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Byasanagar","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Cuttack","Cuttack","20.462521","85.8829895","658986","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Dhenkanal","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Jatani","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Koraput","Jeypore","18.8606126","82.5510469","84830","Vynex Indian Cities Geodata","City/Town"
"Odisha","Jharsuguda","Jharsuguda","21.8554375","84.0061661","97730","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Kendrapara","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Kendujhar","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Malkangiri","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Nabarangapur","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Paradip","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Parlakhemundi","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Pattamundai","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Phulabani","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Puri","Puri","19.8133822","85.8314655","201026","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Rairangpur","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Rajagangapur","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Raurkela","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Rayagada","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","Sundargarh","Rourkela","22.260423","84.8535844","552970","Vynex Indian Cities Geodata","City/Town"
"Odisha","Sambalpur","Sambalpur","21.4668716","83.9811665","269575","Vynex Indian Cities Geodata","City/Town"
"Odisha","","Soro","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Sunabeda","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Sundargarh","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Talcher","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Tarbha","","","","Existing IRTMS India city catalog","City/Town"
"Odisha","","Titlagarh","","","","Existing IRTMS India city catalog","City/Town"
