state,district,city_or_town,latitude,longitude,population,source,location_type
"Punjab","Fazilka","Abohar","30.1452928","74.1993043","145238","Vynex Indian Cities Geodata","City/Town"
"Punjab","Amritsar","Amritsar","31.6339793","74.8722642","1132761","Vynex Indian Cities Geodata","City/Town"
"Punjab","Barnala","Barnala","30.3819446","75.5467979","116449","Vynex Indian Cities Geodata","City/Town"
"Punjab","Gurdaspur","Batala","31.8183238","75.2070644","151400","Vynex Indian Cities Geodata","City/Town"
"Punjab","Bathinda","Bathinda","30.210994","74.9454745","285788","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Chandigarh","30.7333","76.7794","","IRTMS state capital catalog","Capital"
"Punjab","","Dhuri","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Faridkot","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Fazilka","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Firozpur","Firozpur","30.9331348","74.6224755","110091","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Firozpur Cantt.","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Gobindgarh","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Gurdaspur","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Hoshiarpur","Hoshiarpur","31.5143178","75.911483","168443","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Jagraon","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Jalandhar","Jalandhar","31.3260152","75.5761829","862196","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Jalandhar Cantt.","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Kapurthala","Kapurthala","31.367197","75.374504","101654","Vynex Indian Cities Geodata","City/Town"
"Punjab","Ludhiana","Khanna","30.697852","76.2112286","128137","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Kharar","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Kot Kapura","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Longowal","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Ludhiana","Ludhiana","30.900965","75.8572758","1618879","Vynex Indian Cities Geodata","City/Town"
"Punjab","Sangrur","Malerkotla","30.5232076","75.8882508","135424","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Malout","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Mansa","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Moga","Moga","30.8164603","75.1717093","141432","Vynex Indian Cities Geodata","City/Town"
"Punjab","Mohali","Mohali","30.7046486","76.7178726","146104","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Morinda, India","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Mukerian","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Muktsar","Muktasar","30.476681","74.511289","117085","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Muktsar","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Nabha","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Nakodar","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Nangal","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Nawanshahr","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Pathankot","Pathankot","32.2643375","75.6421121","143357","Vynex Indian Cities Geodata","City/Town"
"Punjab","Patiala","Patiala","30.3397809","76.3868797","445196","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Patti","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Pattran","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Kapurthala","Phagwara","31.2240198","75.7708013","97864","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Phillaur","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Qadian","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Raikot","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Patiala","Rajpura","30.483997","76.5939516","92193","Vynex Indian Cities Geodata","City/Town"
"Punjab","","Rampura Phul","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Rupnagar","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Samana","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Sangrur","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Sirhind Fatehgarh Sahib","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Sujanpur","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Sunam","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Talwara","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Tarn Taran","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Urmar Tanda","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","","Zira","","","","Existing IRTMS India city catalog","City/Town"
"Punjab","Mohali","Zirakpur","30.6425496","76.8173359","95553","Vynex Indian Cities Geodata","City/Town"
