state,district,city_or_town,latitude,longitude,population,source,location_type
"Rajasthan","Ajmer","Ajmer","26.4498954","74.6399163","551101","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Alwar","Alwar","27.5529907","76.6345735","341422","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Banswara","Banswara","23.5461394","74.4349761","100128","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Baran","Baran","25.1011438","76.5131637","117992","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Barmer","Barmer","25.7531537","71.4180622","189715","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Beawar","Beawar","26.1007337","74.3190747","151152","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Bharatpur","Bharatpur","27.216981","77.489515","252000","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Bhilwara","Bhilwara","25.321377","74.586953","359483","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Alwar","Bhiwadi","28.2088218","76.8445999","104883","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Bikaner","Bikaner","28.0229348","73.3119159","644406","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Bundi","Bundi","25.4305144","75.6499025","104457","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Chittorgarh","Chittorgarh","24.8887435","74.6269216","154439","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Churu","Churu","28.2920484","74.9617924","120157","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Dausa","Dausa","26.8931931","76.3375284","85960","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Dholpur","Dholpur","26.7025181","77.893391","133075","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Sikar","Fatehpur","27.9950204","74.9617924","92595","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Sawai Madhopur","Gangapur","26.478446","76.732222","130061","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Hanumangarh","Hanumangarh","29.614436","74.2858121","150958","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Karauli","Hindaun","26.7454967","77.0330481","109569","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Jaipur","Jaipur","26.9124336","75.7872709","3046163","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Jhunjhunu","Jhunjhunu","28.1288747","75.3995089","100476","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Jodhpur","Jodhpur","26.2389469","73.0243094","1137815","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Karauli","Karauli","26.488323","77.0161436","82960","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Ajmer","Kishangarh","26.5870344","74.856397","154986","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","Kota","Kota","25.2138156","75.8647527","1001365","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","","Lachhmangarh","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Ladnu","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Lakheri","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Lalsot","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Losal","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","Nagaur","Makrana","27.0285581","74.714621","116295","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","","Malpura","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Mandalgarh","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Mandawa","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Mangrol","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Merta City","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Mount Abu","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nadbai","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nagar","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","Nagaur","Nagaur","27.1991222","73.740924","110797","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","","Nasirabad","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nathdwara","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Neem-Ka-Thana","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nimbahera","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nohar","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Nokha","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","Pali","Pali","25.7710893","73.3234478","230075","Vynex Indian Cities Geodata","City/Town"
"Rajasthan","","Phalodi","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Phulera","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Pilani","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Pilibanga","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Pindwara","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Pipar City","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Prantij","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Pratapgarh","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Raisinghnagar","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Rajakhera","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Rajaldesar","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Rajgarh (Alwar)","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Rajgarh (Churu)","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Rajsamand","","","","Existing IRTMS India city catalog","City/Town"
"Rajasthan","","Ramganj Mandi","","","","Existing IRTMS India city catalog","City/Town"
