state,district,city_or_town,latitude,longitude,population,source,location_type
"Tamil Nadu","Vellore","Ambur","12.7903613","78.7166084","162521","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Arakkonam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Aruppukkottai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Chennai","Chennai","13.0826802","80.2707184","8696010","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Coimbatore","Coimbatore","11.0168445","76.9558321","2151466","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Cuddalore","Cuddalore","11.744699","79.7680243","173636","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Dindigul","Dindigul","10.3673123","77.9802906","207327","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Erode","Erode","11.3410364","77.7171642","521776","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Gobichettipalayam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Vellore","Gudiyatham","12.9447361","78.8709019","291558","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Krishnagiri","Hosur","12.7409127","77.8252923","116821","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Tirunelveli","Kadayanallur","9.0778543","77.3451861","90364","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Kancheepuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Kanchipuram","Kanchipuram","12.8341735","79.7036402","164265","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Sivaganga","Karaikudi","10.0731315","78.7801544","106714","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Karur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Namakkal","Komarapalayam","11.4466642","77.6943353","171594","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Thoothukudi","Kovilpatti","9.1674144","77.8767442","95057","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Thanjavur","Kumbakonam","10.9616945","79.3881132","140156","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Lalgudi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Madurai","Madurai","9.9252007","78.1197754","1462420","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Manachanallur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Nagapattinam","Nagapattinam","10.7656082","79.8423888","102905","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Kanyakumari","Nagercoil","8.1832857","77.4118996","224849","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Namagiripettai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Namakkal","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Nandivaram-Guduvancheri","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Nanjikottai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Natham","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Nellikuppam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Cuddalore","Neyveli","11.5432364","79.4760133","105687","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Neyveli (TS)","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","O' Valley","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Oddanchatram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Nilgiri","Ooty","11.4064138","76.6932438","88430","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","P.N.Patti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Pacode","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Padmanabhapuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Palani","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Palladam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Pallapatti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Pallikonda","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Panagudi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Panruti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Ramanathapuram","Paramakudi","9.5483949","78.5916335","95579","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Parangipettai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Pattukkottai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Perambalur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Peravurani","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Periyakulam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Periyasemur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Pernampattu","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Coimbatore","Pollachi","10.6572737","77.0106693","90180","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Polur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Ponneri","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Pudukkottai","Pudukkottai","10.379663","78.8208454","143745","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Pudupattinam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Puliyankudi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Punjaipugalur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Virudhunagar","Rajapalayam","9.451559","77.554355","130442","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Ramanathapuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Rameshwaram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Ranipet","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Rasipuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Salem","Salem","11.664325","78.1460142","919150","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Sankarankovil","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sankari","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sathyamangalam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sattur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Shenkottai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sholavandan","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sholingur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sirkali","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sivaganga","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sivagiri","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Sivakasi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Srivilliputhur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Surandai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Suriyampalayam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tenkasi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thammampatti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Thanjavur","Thanjavur","10.7869994","79.1378274","222943","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Tharamangalam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tharangambadi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Theni","Theni Allinagaram","10.010262","77.476819","94453","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Thirumangalam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thirupuvanam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thiruthuraipoondi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thiruvallur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thiruvarur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Thuraiyur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tindivanam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tiruchendur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Namakkal","Tiruchengode","11.378665","77.894975","95335","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","Tiruchirappalli","Tiruchirappalli","10.7904833","78.7046725","1021717","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Tirukalukundram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tirukkoyilur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Tirunelveli","Tirunelveli","8.7139126","77.7566523","498984","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Tirupathur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tiruppur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Tiruppur","Tirupur","11.1085242","77.3410656","962982","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Tiruttani","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Tiruvannamalai","Tiruvannamalai","12.2252841","79.0746957","145278","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Tiruvethipuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Tittakudi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Thoothukkudi","Tuticorin","8.7641661","78.1348361","410760","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Udhagamandalam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Udumalaipettai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Unnamalaikadai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Usilampatti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Uthamapalayam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Uthiramerur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Vadakkuvalliyur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Vadalur","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Vadipatti","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Valparai","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Vandavasi","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Vellore","Vaniyambadi","12.6950325","78.6218853","195061","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Vedaranyam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Vellakoil","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Vellore","Vellore","12.9165167","79.1324986","481966","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Vikramasingapuram","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","Viluppuram","Viluppuram","11.9368897","79.4872619","96253","Vynex Indian Cities Geodata","City/Town"
"Tamil Nadu","","Virudhachalam","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Virudhunagar","","","","Existing IRTMS India city catalog","City/Town"
"Tamil Nadu","","Viswanatham","","","","Existing IRTMS India city catalog","City/Town"
