state,district,city_or_town,latitude,longitude,population,source,location_type
"Telangana","Adilabad","Adilabad","19.676527","78.532194","117167","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Bellampalle","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Bhadrachalam","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Bhainsa","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Bhongir","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Bodhan","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Farooqnagar","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Gadwal","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Hyderabad","Hyderabad","17.384934","78.486616","8746490","Vynex Indian Cities Geodata","City/Town"
"Telangana","Karimnagar","Jagtial","18.788321","78.913899","96470","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Jangaon","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Kagaznagar","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Kamareddy","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Karimnagar","Karimnagar","18.438485","79.128931","261185","Vynex Indian Cities Geodata","City/Town"
"Telangana","Khammam","Khammam","17.247318","80.151443","184210","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Koratla","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Khammam","Kothagudem","17.6335295","81.0395821","79819","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Kyathampalle","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Mahbubnagar","Mahbubnagar","16.748788","78.003626","157733","Vynex Indian Cities Geodata","City/Town"
"Telangana","Adilabad","Mancherial","18.868797","79.446944","86911","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Mandamarri","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Manuguru","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Medak","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Nalgonda","Miryalaguda","16.862087","79.554051","103817","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Nagarkurnool","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Nalgonda","Nalgonda","17.057358","79.268649","135744","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Narayanpet","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Nirmal","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Nizamabad","Nizamabad","18.673421","78.092593","311152","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Palwancha","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Karimnagar","Ramagundam","18.762412","79.473362","229644","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Sadasivpet","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Sangareddy","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Medak","Siddipet","18.101864","78.851948","113358","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Sircilla","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Nalgonda","Suryapet","17.143132","79.630418","105531","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Tandur","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Vikarabad","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","","Wanaparthy","","","","Existing IRTMS India city catalog","City/Town"
"Telangana","Warangal","Warangal","17.975762","79.601212","811844","Vynex Indian Cities Geodata","City/Town"
"Telangana","","Yellandu","","","","Existing IRTMS India city catalog","City/Town"
