state,district,city_or_town,latitude,longitude,population,source,location_type
"Uttar Pradesh","","Achhnera","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Agra","Agra","27.1766701","78.0080745","1746467","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Ambedkar Nagar","Akbarpur","26.4407468","82.5537514","111594","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Aligarh","Aligarh","27.8973944","78.0880129","909559","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Allahabad","Allahabad","25.4358011","81.846311","1216719","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Amroha","Amroha","28.9043537","78.4673426","197135","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Auraiya","Auraiya","26.4625957","79.5097549","99674","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Azamgarh","Azamgarh","26.0737044","83.1859458","116165","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Bahraich","Bahraich","27.5708377","81.5980246","186241","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Ballia","Ballia","25.7584381","84.1487319","111287","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Banda","Banda","25.4796224","80.3380213","160432","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Barabanki","Barabanki","26.9400001","81.19","154692","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Baghput","Baraut","29.099112","77.256551","102733","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Bareilly","Bareilly","28.3670355","79.4304381","979933","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Basti","Basti","26.8176796","82.7633133","114651","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Sant Ravidas Nagar","Bhadohi","25.38727","82.5680309","94620","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Bijnor","Bijnor","29.3724422","78.1358472","115381","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Budaun","Budaun","28.0337088","79.1205419","369221","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Bulandshahr","Bulandshahr","28.406963","77.8498292","235310","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Sambhal","Chandausi","28.4480507","78.7796105","114254","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Gautam Buddha Nagar","Dadri","28.5461902","77.55621","91189","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Saharanpur","Deoband","29.6910213","77.6822442","97037","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Deoria","Deoria","26.505358","83.784454","129570","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Etah","Etah","27.5587505","78.662567","131023","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Etawah","Etawah","26.784784","79.021451","256790","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Faizabad","Faizabad","26.7732476","82.1441643","642381","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Farrukhabad","Farrukhabad","27.3826126","79.5940544","318540","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Fatehpur","Fatehpur","25.9200736","80.8099941","193801","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","","Fatehpur Sikri","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Firozabad","Firozabad","27.1591006","78.3957574","603797","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Ghaziabad","Ghaziabad","28.6691565","77.4537578","2358525","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Ghazipur","Ghazipur","25.5840419","83.5770202","121136","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Gonda","Gonda","27.1339913","81.9618968","138929","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Gorakhpur","Gorakhpur","26.7605545","83.3731675","692519","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Gautam Budh Nagar","Greater Noida","28.4743879","77.5039904","107676","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Hapur","Hapur","28.7305798","77.7758825","262801","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Hardoi","Hardoi ","27.3986345","80.1316927","197046","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Hathras","Hathras","27.6056212","78.0537813","161289","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Jaunpur","Jaunpur","25.7490034","82.6987002","168128","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Jhansi","Jhansi","25.4484257","78.5684594","549391","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","","Kalpi","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Kanpur","Kanpur","26.447965","80.330572","2920067","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Kasganj","Kasganj","27.8129344","78.649785","101241","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Aligarh","Khair","27.9391956","77.8424456","102106","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Muzaffarnagar","Khatauli","29.2758596","77.7309012","97427","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","Bulandshahr","Khurja","28.2513538","77.8538797","142636","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","","Laharpur","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Lakhimpur Kheri","Lakhimpur","27.9490794","80.7824012","164925","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","","Lal Gopalganj Nindaura","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","","Lalganj","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Lalitpur","Lalitpur","24.6878597","78.4120206","133041","Vynex Indian Cities Geodata","City/Town"
"Uttar Pradesh","","Lar","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","","Loni","","","","Existing IRTMS India city catalog","City/Town"
"Uttar Pradesh","Lucknow","Lucknow","26.8466937","80.946166","2901474","Vynex Indian Cities Geodata","City/Town"
