state,district,city_or_town,latitude,longitude,population,source,location_type
"Uttarakhand","","Bageshwar","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","Dehradun","Dehradun","30.3164945","78.0321918","714223","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","Nainital","Haldwani","29.2182644","79.5129767","252060","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","","Haldwani-cum-Kathgodam","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Hardwar","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","Haridwar","Haridwar","29.9456906","78.1642478","310582","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","Udham Singh Nagar","Kashipur","29.2104232","78.9618845","121610","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","","Manglaur","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Mussoorie","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Nagla","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Nainital","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Pauri","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Pithoragarh","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Ramnagar","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","Dehradun","Rishikesh","30.0869281","78.2676116","102138","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","Haridwar","Roorkee","29.8542626","77.8880002","275502","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","Udham Singh Nagar","Rudrapur","28.9875082","79.4141214","154485","Vynex Indian Cities Geodata","City/Town"
"Uttarakhand","","Sitarganj","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Srinagar","","","","Existing IRTMS India city catalog","City/Town"
"Uttarakhand","","Tehri","","","","Existing IRTMS India city catalog","City/Town"
