state,district,city_or_town,latitude,longitude,population,source,location_type
"West Bengal","","Adra","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Alipurduar","Alipurduar","26.4918891","89.5271026","127342","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","AlipurdUrban Agglomerationr","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Arambagh","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Bardhaman","Asansol","23.6739452","86.9523954","1243008","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Murshidabad","Baharampur","24.164895","88.274906","305609","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Dakshin Dinajpur","Balurghat","25.2372834","88.7830612","164593","Vynex Indian Cities Geodata","City/Town"
"West Bengal","North 24 Parganas","Bangaon","23.0440381","88.827703","110668","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Bankura","Bankura","23.2324146","87.0786044","138036","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Bardhaman","Bardhaman","23.2324214","87.8614793","347016","Vynex Indian Cities Geodata","City/Town"
"West Bengal","North 24 Parganas","Basirhat","22.6574017","88.8671766","144891","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Birbhum","Bolpur","23.6686892","87.6827676","92370","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Nadia","Chakdaha","23.047858","88.5130144","132855","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Cooch Behar","Cooch Behar","26.3356861","89.445851","106760","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Hooghly","Dankuni","22.6808348","88.2929313","249840","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Darjeeling","Darjeeling","27.0360066","88.2626751","132016","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Darjiling","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Murshidabad","Dhulian","24.6706654","87.9481846","239022","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Bardhaman","Durgapur","23.5204443","87.3119227","581409","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","English Bazar","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Gangarampur","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","North 24 Parganas","Habra","22.8488542","88.6639591","304584","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Purba Medinipur","Haldia","22.0666742","88.0698118","200762","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Hugli-Chinsurah","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Jalpaiguri","Jalpaiguri","26.5434772","88.7205256","303874","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Murshidabad","Jangipur","24.4589833","88.1047287","122875","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Jhargram","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Kalimpong","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Midnapore East","Kanthi","21.7811343","87.7450379","92226","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Paschim Medinipur","Kharagpur","22.34601","87.2319753","293719","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Kolkata","Kolkata","22.572646","88.363895","14112536","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Nadia","Krishnanagar","23.4008744","88.5013962","181182","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Mainaguri","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Malda","Malda","25.0108408","88.1410967","324237","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Mathabhanga","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Medinipur","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Memari","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Paschim Medinipur","Midnapore","22.4308892","87.3214908","169127","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Monoharpur","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Murshidabad","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Nadia","Nabadwip","23.4036446","88.3676393","175474","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Naihati","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Panchla","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","PandUrban Agglomeration","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Paschim Punropara","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Purulia","Purulia","23.3320779","86.365208","126894","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Raghunathganj","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Raghunathpur","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Uttar Dinajpur","Raiganj","25.6185295","88.1255837","199758","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Rampurhat","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Nadia","Ranaghat","23.17405","88.5639352","235583","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Sainthia","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Santipur","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","Nadia","Shantipur","23.2645399","88.4380966","288718","Vynex Indian Cities Geodata","City/Town"
"West Bengal","Darjeeling; Jalpaiguri","Siliguri","26.7083818","88.4268741","701489","Vynex Indian Cities Geodata","City/Town"
"West Bengal","","Sonamukhi","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Srirampore","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Suri","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Taki","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Tamluk","","","","Existing IRTMS India city catalog","City/Town"
"West Bengal","","Tarakeswar","","","","Existing IRTMS India city catalog","City/Town"
